name,time,currentVisitors
Sundhöll Reykjavíkur,2021-11-05T12:25:02Z,156
Vesturbæjarlaug,2021-11-05T12:25:02Z,168
Árbæjarlaug,2021-11-05T12:30:02Z,104
Breiðholtslaug,2021-11-05T12:30:02Z,119
Grafarvogslaug,2021-11-05T12:30:02Z,92
Laugardalslaug,2021-11-05T12:30:02Z,81
Sundhöll Reykjavíkur,2021-11-05T12:30:02Z,156
Vesturbæjarlaug,2021-11-05T12:30:02Z,171
Árbæjarlaug,2021-11-05T12:35:02Z,106
Breiðholtslaug,2021-11-05T12:35:02Z,119
Grafarvogslaug,2021-11-05T12:35:02Z,92
Laugardalslaug,2021-11-05T12:35:02Z,80
Sundhöll Reykjavíkur,2021-11-05T12:35:02Z,157
Vesturbæjarlaug,2021-11-05T12:35:02Z,172
Árbæjarlaug,2021-11-05T12:40:02Z,109
Breiðholtslaug,2021-11-05T12:40:02Z,119
Grafarvogslaug,2021-11-05T12:40:02Z,95
Laugardalslaug,2021-11-05T12:40:02Z,81
Sundhöll Reykjavíkur,2021-11-05T12:40:02Z,157
Vesturbæjarlaug,2021-11-05T12:40:02Z,173
Árbæjarlaug,2021-11-05T12:45:02Z,110
Breiðholtslaug,2021-11-05T12:45:02Z,119
Grafarvogslaug,2021-11-05T12:45:02Z,95
Laugardalslaug,2021-11-05T12:45:02Z,81
Sundhöll Reykjavíkur,2021-11-05T12:45:02Z,158
Vesturbæjarlaug,2021-11-05T12:45:02Z,175
Árbæjarlaug,2021-11-05T12:50:02Z,111
Breiðholtslaug,2021-11-05T12:50:02Z,119
Grafarvogslaug,2021-11-05T12:50:02Z,96
Laugardalslaug,2021-11-05T12:50:02Z,77
Sundhöll Reykjavíkur,2021-11-05T12:50:02Z,158
Vesturbæjarlaug,2021-11-05T12:50:02Z,177
Árbæjarlaug,2021-11-05T12:55:02Z,111
Breiðholtslaug,2021-11-05T12:55:02Z,121
Grafarvogslaug,2021-11-05T12:55:02Z,96
Laugardalslaug,2021-11-05T12:55:02Z,75
Sundhöll Reykjavíkur,2021-11-05T12:55:02Z,159
Vesturbæjarlaug,2021-11-05T12:55:02Z,181
Árbæjarlaug,2021-11-05T13:00:02Z,115
Breiðholtslaug,2021-11-05T13:00:02Z,122
Grafarvogslaug,2021-11-05T13:00:02Z,96
Laugardalslaug,2021-11-05T13:00:02Z,73
Sundhöll Reykjavíkur,2021-11-05T13:00:02Z,161
Vesturbæjarlaug,2021-11-05T13:00:02Z,183
Árbæjarlaug,2021-11-05T13:05:02Z,117
Breiðholtslaug,2021-11-05T13:05:02Z,123
Grafarvogslaug,2021-11-05T13:05:02Z,97
Laugardalslaug,2021-11-05T13:05:02Z,77
Sundhöll Reykjavíkur,2021-11-05T13:05:02Z,162
Vesturbæjarlaug,2021-11-05T13:05:02Z,187
Árbæjarlaug,2021-11-05T13:10:02Z,117
Breiðholtslaug,2021-11-05T13:10:02Z,125
Grafarvogslaug,2021-11-05T13:10:02Z,98
Laugardalslaug,2021-11-05T13:10:02Z,76
Sundhöll Reykjavíkur,2021-11-05T13:10:02Z,166
Vesturbæjarlaug,2021-11-05T13:10:02Z,191
Árbæjarlaug,2021-11-05T13:15:02Z,118
Breiðholtslaug,2021-11-05T13:15:02Z,127
Grafarvogslaug,2021-11-05T13:15:02Z,98
Laugardalslaug,2021-11-05T13:15:02Z,77
Sundhöll Reykjavíkur,2021-11-05T13:15:02Z,169
Vesturbæjarlaug,2021-11-05T13:15:02Z,196
Árbæjarlaug,2021-11-05T13:20:02Z,122
Breiðholtslaug,2021-11-05T13:20:02Z,128
Grafarvogslaug,2021-11-05T13:20:02Z,98
